Task Name,Start Date,End Date,Team
OASIS S.Verif. Endpoint,2025-07-21,2025-09-03,A-Team
TVS RAS integration under CPS-2684,2025-08-18,2025-09-05,Ninjas
RAS integration,2025-08-12,2025-09-03,Challengers
Games Oasis Related Messages,2025-08-25,2025-08-29,5G
E2E & PLAB testing,2025-09-08,2025-09-15,All Teams
Release,2025-09-15,2025-09-15,All Teams
Database Migration,2025-07-28,2025-08-15,Mavericks
Security Audit,2025-08-01,2025-08-20,Alchemist
Performance Testing,2025-09-01,2025-09-10,Phoenix
Documentation Update,2025-08-05,2025-08-30,Spartans
